y2,y3,x,y,y1,y4
0,1,1679022300,,-59.2,0
0,1,1679022600,,-58.9,0
0,1,1679022900,,-56,0
0,1,1679023200,,-57.8,0
0,1,1679023500,,-62.3,0
0,1,1679023800,,-63.7,0
0,1,1679024100,,-63.6,0
0,1,1679024400,,-58.6,0
0,1,1679024700,,-62.7,0
0,1,1679025000,,-62.7,0
0,1,1679025300,,-64.9,0
0,1,1679025600,,-65.4,0
0,1,1679025900,,-64.5,0
0,1,1679026200,,-63.8,0
0,1,1679026500,,-64.3,0
0,1,1679026800,,-65.5,0
0,0,1679027100,7.61,-63.6,0
0,1,1679027400,,-62.5,0
0,1,1679027700,,-62.5,0
0,1,1679028000,,-63.4,0
0,0,1679028300,7.32,-64.7,0
0,1,1679028600,,-64.6,0
0,1,1679028900,,-64.6,0
0,1,1679029200,,-64.2,0
0,1,1679029500,,-65.1,0
0,1,1679029800,,-62.7,0
0,1,1679030100,,-9.3,0
0,1,1679030400,,-64.6,0
0,1,1679030700,,-65.5,0
0,1,1679031000,,-65.9,0
0,1,1679031300,,-65.1,0
0,1,1679031600,,-65.8,0
0,1,1679031900,,-67,0
0,1,1679032200,,-67.4,0
0,1,1679032500,,-67.4,0
0,1,1679032800,,-65.6,0
0,1,1679033100,,-63.5,0
0,1,1679033400,,-62.9,0
0,1,1679033700,,-67.5,0
0,1,1679034000,,-66.8,0
0,1,1679034300,,-65.5,0
0,1,1679034600,,-66.7,0
0,1,1679034900,,-66.4,0
0,1,1679035200,,-65.9,0
0,1,1679035500,,-66.4,0
0,1,1679035800,,-66.9,0
0,1,1679036100,,-66.7,0
0,0,1679036400,7.25,-66.2,0
0,1,1679036700,,-67,0
0,1,1679037000,,-65.1,0
0,1,1679037300,,-61.5,0
0,1,1679037600,,-62.7,0
0,1,1679037900,,-58.6,0
0,1,1679040000,,-55.5,0
0,1,1679040300,,-57.9,0
0,1,1679040600,,-34.8,0
0,1,1679040900,,-29.3,0
0,1,1679043900,,-45.8,0
0,0,1679044200,7.65,-52.6,0
0,1,1679044500,,-48.3,0
0,1,1679044800,,-44.9,0
0,1,1679045100,,-50.9,0
0,1,1679045400,,-49.4,0
0,1,1679045700,,-65.5,0
0,1,1679046000,,-61.4,0
0,1,1679046300,,-61.1,0
0,1,1679046600,,-65.8,0
0,1,1679046900,,-66.1,0
0,1,1679047200,,-65.4,0
0,1,1679047500,,-64,0
0,1,1679047800,,-65.9,0
0,1,1679048100,,-64.9,0
0,1,1679048400,,-52.2,0
0,1,1679048700,,-54.6,0
0,1,1679049000,,-54.9,0
0,1,1679049300,,-55.4,0
0,1,1679049600,,-49.1,0
0,1,1679049900,,-44.3,0
0,1,1679050200,,-64.9,0
0,1,1679050500,,-64.6,0
0,1,1679050800,,-53.5,0
0,1,1679051100,,-52.1,0
0,1,1679051400,,-48.1,0
0,1,1679051700,,-55.3,0
0,1,1679055900,,,1
0,1,1679056200,,,1
0,1,1679056500,,,1
0,1,1679056800,,,1
0,1,1679057100,,,1
0,1,1679057400,,,1
0,1,1679057700,,,1
0,1,1679058000,,,1
0,1,1679058300,,,1
0,1,1679058600,,,1
0,1,1679058900,,,1
0,1,1679059200,,,1
0,1,1679059500,,,1
0,1,1679059800,,,1
0,1,1679060100,,,1
0,1,1679060400,,,1
0,1,1679060700,,,1
0,1,1679061000,,,1
0,1,1679061300,,,1
0,1,1679061600,,,1
0,1,1679061900,,,1
0,1,1679062200,,,1
0,1,1679062500,,,1
0,1,1679062800,,,1
0,1,1679063100,,,1
0,1,1679063400,,,1
0,1,1679063700,,,1
0,1,1679064000,,,1
0,1,1679064300,,,1
0,1,1679064600,,,1
0,1,1679064900,,,1
0,1,1679065200,,,1
0,1,1679065500,,,1
0,1,1679065800,,,1
0,1,1679066100,,,1
0,1,1679066400,,,1
0,1,1679066700,,,1
0,1,1679067000,,,1
0,1,1679067300,,,1
0,1,1679067600,,,1
0,1,1679067900,,,1
0,1,1679068200,,,1
0,1,1679068500,,,1
0,1,1679068800,,,1
0,1,1679069100,,,1
0,1,1679069400,,,1
0,1,1679069700,,,1
0,1,1679070000,,,1
0,1,1679070300,,,1
0,1,1679070600,,,1
0,1,1679070900,,,1
0,1,1679071200,,,1
0,1,1679071500,,,1
0,1,1679071800,,,1
0,1,1679072100,,,1
0,1,1679072400,,,1
0,1,1679072700,,,1
0,1,1679073000,,,1
0,1,1679073300,,,1
0,1,1679073600,,,1
0,1,1679073900,,,1
0,1,1679074200,,,1
0,1,1679074500,,,1
0,1,1679074800,,,1
0,1,1679075100,,,1
0,1,1679075400,,,1
0,1,1679075700,,,1
0,1,1679076000,,,1
0,1,1679076300,,,1
0,1,1679076600,,,1
0,1,1679076900,,,1
0,1,1679077200,,,1
0,1,1679077500,,,1
0,1,1679077800,,,1
0,1,1679078100,,,1
0,1,1679078400,,,1
0,1,1679078700,,,1
0,1,1679079000,,,1
0,1,1679079300,,,1
0,1,1679079600,,,1
0,1,1679079900,,,1
0,1,1679080200,,,1
0,1,1679080500,,,1
0,1,1679080800,,,1
0,1,1679081100,,,1
0,1,1679081400,,,1
0,1,1679081700,,,1
0,1,1679082000,,,1
0,1,1679082300,,,1
0,1,1679082600,,,1
0,1,1679082900,,,1
0,1,1679083200,,,1
0,1,1679083500,,,1
0,1,1679083800,,,1
0,1,1679084100,,,1
0,1,1679084400,,,1
0,1,1679084700,,,1
0,1,1679085000,,,1
0,1,1679085300,,,1
0,1,1679085600,,,1
0,1,1679085900,,,1
0,1,1679086200,,,1
0,1,1679086500,,,1
0,1,1679086800,,,1
0,1,1679087100,,,1
0,1,1679087400,,,1
0,1,1679087700,,,1
0,1,1679088000,,,1
0,1,1679088300,,,1
0,1,1679088600,,,1
0,1,1679088900,,,1
0,1,1679089200,,,1
0,1,1679089500,,,1
0,1,1679089800,,,1
0,1,1679090100,,,1
0,1,1679090400,,,1
0,1,1679090700,,,1
0,1,1679091000,,,1
0,1,1679091300,,,1
0,1,1679091600,,,1
0,1,1679091900,,,1
0,1,1679092200,,,1
0,1,1679092500,,,1
0,1,1679092800,,,1
0,1,1679093100,,,1
0,1,1679093400,,,1
0,1,1679093700,,,1
0,1,1679094000,,,1
0,1,1679094300,,,1
0,1,1679094600,,,1
0,1,1679094900,,,1
0,1,1679095200,,,1
0,1,1679095500,,,1
0,1,1679095800,,,1
0,1,1679096100,,,1
0,1,1679096400,,,1
0,1,1679096700,,,1
0,1,1679097000,,,1
0,1,1679097300,,,1
0,1,1679097600,,,1
0,1,1679097900,,,1
0,1,1679098200,,,1
0,1,1679098500,,,1
0,1,1679098800,,,1
0,1,1679099100,,,1
0,1,1679099400,,,1
0,1,1679099700,,,1
0,1,1679100000,,,1
0,1,1679100300,,,1
0,1,1679100600,,,1
0,1,1679100900,,,1
0,1,1679101200,,,1
0,1,1679101500,,,1
0,1,1679101800,,,1
0,1,1679102100,,,1
0,1,1679102400,,,1
0,1,1679102700,,,1
0,1,1679103000,,,1
0,1,1679103300,,,1
0,1,1679103600,,,1
0,1,1679103900,,,1
0,1,1679104200,,,1
0,1,1679104500,,,1
0,1,1679104800,,,1
0,1,1679105100,,,1
0,1,1679105400,,,1
0,1,1679105700,,,1
0,1,1679106000,,,1
0,1,1679106300,,,1
0,1,1679106600,,,1
0,1,1679106900,,,1
0,1,1679107200,,,1
0,1,1679107500,,,1
0,1,1679107800,,,1
0,1,1679108100,,,1
0,1,1679108400,,,1
0,1,1679108700,,,1
0,1,1679109000,,,1
0,1,1679109300,,,1
0,1,1679109600,,,1
0,1,1679109900,,,1
0,1,1679110200,,,1
0,1,1679110500,,,1
0,1,1679110800,,,1
0,1,1679111100,,,1
0,1,1679111400,,,1
0,1,1679111700,,,1
0,1,1679112000,,,1
0,1,1679112300,,,1
0,1,1679112600,,,1
0,1,1679112900,,,1
0,1,1679113200,,,1
0,1,1679113500,,,1
0,1,1679113800,,,1
0,1,1679114100,,,1
0,1,1679114400,,,1
0,1,1679114700,,,1
0,1,1679115000,,,1
0,1,1679115300,,,1
0,1,1679115600,,,1
0,1,1679115900,,,1
0,1,1679116200,,,1
0,1,1679116500,,,1
0,1,1679116800,,,1
0,1,1679117100,,,1
0,1,1679117400,,,1
