x,y,y1,air_temp,wind_speed,air_pressure,rel_humidity,sol_irr,meteo_timestamp,skin_datetime,meteo_datetime
1668886812,11.34,11.4572,4.639375023472234,0.7152500009569441,928.1101388888884,88.35972222222226,0.023611111111110833,1668886801.298,2022-11-19 20:40:12,2022-11-19 20:40:01.298
1668887412,10.36,11.4187,4.700680605277775,0.894416663216655,928.1413888888892,89.87361111111117,0.06944444444444452,1668887401.243,2022-11-19 20:50:12,2022-11-19 20:50:01.243
1668888027,10.69,,4.633027809027776,1.3538611082361,928.1327777777783,89.35694444444452,0.0,1668888001.281,2022-11-19 21:00:27,2022-11-19 21:00:01.281
1668888612,11.69,11.3998,4.5928749963888915,1.8024978760616752,928.2436111111116,89.41527777777766,0.023611111111111416,1668888601.317,2022-11-19 21:10:12,2022-11-19 21:10:01.317
1668889212,10.94,11.4292,4.507874984722233,1.7393333324722249,928.3415277777775,89.44305555555552,0.0,1668889201.235,2022-11-19 21:20:12,2022-11-19 21:20:01.235
1668889812,11.46,11.3903,4.575033188535783,1.6694722228194498,928.4180108286241,89.41480696798509,0.009745762711864418,1668889801.261,2022-11-19 21:30:12,2022-11-19 21:30:01.261
1668890412,11.24,11.4325,4.637208337916667,1.024583331515269,928.4144444444432,88.93472222222226,0.0,1668890401.298,2022-11-19 21:40:12,2022-11-19 21:40:01.298
1668891012,10.26,11.4254,4.774180545138893,0.8710000009374975,928.4050000000008,88.21527777777773,0.019444444444444157,1668891001.244,2022-11-19 21:50:12,2022-11-19 21:50:01.244
1668891612,10.7,11.3996,4.910763906388891,1.0980416676666607,928.3972222222225,88.01388888888881,0.026388888888888573,1668891601.251,2022-11-19 22:00:12,2022-11-19 22:00:01.251
1668892212,10.06,11.3959,5.007430543333332,0.7572235961294734,928.3947222222224,86.69861111111116,0.0,1668892201.332,2022-11-19 22:10:12,2022-11-19 22:10:01.332
1668892812,10.55,11.3974,5.062249913055559,1.0322222224027784,928.3287500000001,88.07222222222232,0.04861111111111167,1668892801.255,2022-11-19 22:20:12,2022-11-19 22:20:01.255
1668893412,10.74,11.4171,5.042314936195859,0.9289999990416676,928.2482886064032,88.75364877589452,0.05972222222222249,1668893401.259,2022-11-19 22:30:12,2022-11-19 22:30:01.259
1668894012,10.82,11.4077,5.029944375416666,1.2714583324305526,928.2134722222227,89.47777777777783,0.14444444444444474,1668894001.301,2022-11-19 22:40:12,2022-11-19 22:40:01.301
1668894612,10.72,11.4031,5.0193333354166745,1.6415555568055558,928.2345833333342,90.30138888888875,0.08611111111111151,1668894601.24,2022-11-19 22:50:12,2022-11-19 22:50:01.240
1668895212,11.06,11.388,4.933986138750008,1.8392916691805583,928.2220833333334,91.54722222222206,0.004166666666666667,1668895201.266,2022-11-19 23:00:12,2022-11-19 23:00:01.266
1668895812,11.48,11.4015,4.786166632361117,1.8712782371048,928.2024999999982,91.1249999999999,0.0,1668895801.297,2022-11-19 23:10:12,2022-11-19 23:10:01.297
1668896412,10.93,11.4078,4.889082687182442,0.9633472190250026,928.3054573029541,90.5117351270414,0.0,1668896401.247,2022-11-19 23:20:12,2022-11-19 23:20:01.247
1668897012,11.13,11.4049,5.030135153561917,1.2862777764027775,928.3431927078509,91.3643010404124,0.26666666666666644,1668897001.245,2022-11-19 23:30:12,2022-11-19 23:30:01.245
1668897612,10.95,11.3945,5.0112638999999914,1.3840694403750085,928.2509722222222,91.3305555555555,0.12361111111111084,1668897601.253,2022-11-19 23:40:12,2022-11-19 23:40:01.253
1668898212,10.89,11.405,4.901444459027775,1.5092222213472253,928.2662499999991,91.72916666666667,0.0,1668898201.385,2022-11-19 23:50:12,2022-11-19 23:50:01.385
