system:index,ST,ST_unc,coverage,sensor,time_utc,time_utc+1,time_unix
1_1_2_LE07_196028_20050630,23.61784064,2.72,1.003420798,LANDSAT_7,2005-06-30 10:12:29,2005-06-30 11:12:29,1120126349
1_1_2_LE07_196028_20050716,20.95862108,2.29,1.003420798,LANDSAT_7,2005-07-16 10:12:30,2005-07-16 11:12:30,1121508750
1_1_2_LE07_196028_20050801,23.03677724,2.23,1.003420798,LANDSAT_7,2005-08-01 10:12:28,2005-08-01 11:12:28,1122891148
1_1_1_2_LT05_196028_20050809,21.92250272,2.21,1.003420798,LANDSAT_5,2005-08-09 10:11:05,2005-08-09 11:11:05,1123582265
1_1_2_LE07_196028_20050902,21.47132408,2.79,1.003420798,LANDSAT_7,2005-09-02 10:12:16,2005-09-02 11:12:16,1125655936
1_1_1_2_LT05_196028_20050926,17.90974724,2.86,1.003420798,LANDSAT_5,2005-09-26 10:11:10,2005-09-26 11:11:10,1127729470
1_1_2_LE07_196028_20051121,10.2978167,2.98,1.003420798,LANDSAT_7,2005-11-21 10:12:37,2005-11-21 11:12:37,1132567957
1_1_1_2_LT05_195028_20051122,9.94917866,2.87,0.957916217,LANDSAT_5,2005-11-22 10:05:29,2005-11-22 11:05:29,1132653929
1_1_1_2_LT05_195028_20060210,4.34704388,2.75,0.957916217,LANDSAT_5,2006-02-10 10:07:19,2006-02-10 11:07:19,1139566039
1_1_2_LE07_195028_20060407,7.03018958,2.17,0.957916217,LANDSAT_7,2006-04-07 10:06:57,2006-04-07 11:06:57,1144404417
1_1_2_LE07_196028_20060414,8.12395598,4.82,1.003420798,LANDSAT_7,2006-04-14 10:13:06,2006-04-14 11:13:06,1145009586
1_1_1_2_LT05_196028_20060422,13.59278798,3.89,1.003420798,LANDSAT_5,2006-04-22 10:14:53,2006-04-22 11:14:53,1145700893
1_1_2_LE07_196028_20060430,10.93698644,2.22,1.003420798,LANDSAT_7,2006-04-30 10:13:07,2006-04-30 11:13:07,1146391987
1_1_1_2_LT05_196028_20060524,14.37209654,2.33,1.003420798,LANDSAT_5,2006-05-24 10:15:17,2006-05-24 11:15:17,1148465717
1_1_1_2_LT05_196028_20060609,13.99953236,2.34,1.003420798,LANDSAT_5,2006-06-09 10:15:34,2006-06-09 11:15:34,1149848134
1_1_2_LE07_195028_20060610,12.8955119,1.49,0.957916217,LANDSAT_7,2006-06-10 10:06:55,2006-06-10 11:06:55,1149934015
1_1_2_LE07_195028_20060626,22.60610672,2.46,0.957916217,LANDSAT_7,2006-06-26 10:06:50,2006-06-26 11:06:50,1151316410
1_1_2_LE07_196028_20060703,22.47963998,2.72,1.003420798,LANDSAT_7,2006-07-03 10:12:58,2006-07-03 11:12:58,1151921578
1_1_1_2_LT05_196028_20060711,24.2091581,2.76,1.003420798,LANDSAT_5,2006-07-11 10:16:05,2006-07-11 11:16:05,1152612965
1_1_2_LE07_195028_20060712,26.55733784,2.83,0.853192282,LANDSAT_7,2006-07-12 10:06:43,2006-07-12 11:06:43,1152698803
1_1_2_LE07_196028_20060719,25.2516542,2.25,1.003420798,LANDSAT_7,2006-07-19 10:12:50,2006-07-19 11:12:50,1153303970
1_1_1_2_LT05_195028_20060720,26.83761548,2.7,0.957916217,LANDSAT_5,2006-07-20 10:10:01,2006-07-20 11:10:01,1153390201
1_1_1_2_LT05_196028_20060727,25.17303974,2.85,1.003420798,LANDSAT_5,2006-07-27 10:16:17,2006-07-27 11:16:17,1153995377
1_1_2_LE07_196028_20060820,18.80526848,3.86,1.003420798,LANDSAT_7,2006-08-20 10:12:44,2006-08-20 11:12:44,1156068764
1_1_1_2_LT05_195028_20060821,19.17099662,2.55,0.957916217,LANDSAT_5,2006-08-21 10:10:23,2006-08-21 11:10:23,1156155023
1_1_1_2_LT05_195028_20060906,18.89071898,3.4,0.957916217,LANDSAT_5,2006-09-06 10:10:35,2006-09-06 11:10:35,1157537435
1_1_1_2_LT05_196028_20060929,18.53866292,2.46,1.003420798,LANDSAT_5,2006-09-29 10:17:02,2006-09-29 11:17:02,1159525022
1_1_1_2_LT05_196028_20061015,15.85893524,2.44,1.003420798,LANDSAT_5,2006-10-15 10:17:13,2006-10-15 11:17:13,1160907433
1_1_1_2_LT05_196028_20061218,8.0077433,3.67,1.003420798,LANDSAT_5,2006-12-18 10:17:46,2006-12-18 11:17:46,1166437066
