x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y,y16
1668384361.245,1.133833332,0.57,1.65,26.086664071703,932.49152542373,100,0,0,0,0,0,0,0,0,0,4.7467795728814,0
1668384421.341,1.2783333443333,0.86,1.89,9.0858312794327,932.4573770491802,100,0,0,0,0,0,0,0,0,0,4.69,0
1668384481.245,1.5458333316667,1.04,2.03,1.9242160011967,932.4898305084698,100,0.13559322033898,0,0,0,0,0,0,0,0,4.7635593,0
1668384541.258,1.4295000008333,0.98999995,1.93,21.325692839542,932.4666666666699,100,0.016666666666667,0,0,0,0,0,0,0,0,4.678000105,0
1668384601.398,1.1459999931667,0.71999997,1.8399999,44.265824668812996,932.4327868852499,100,0,0,0,0,0,0,0,0,0,4.629836129508201,0
1668384661.307,1.3051666646667,0.68,1.8299999,17.096920853794,932.4525423728801,100,0,0,0,0,0,0,0,0,0,4.6394914898305,0
1668384721.258,1.0040000075,0.7,1.28,10.520333925636999,932.4483333333301,100,0,0,0,0,0,0,0,0,0,4.6433334833333,0
1668384781.258,0.93516666416667,0.65,1.22,78.91961063509301,932.435,100,0,0,0,0,0,0,0,0,0,4.609166581666701,0
1668384841.269,1.232666668,0.45999998,2.22,92.9113014398,932.395,100,0,0,0,0,0,0,0,0,0,4.598500025,0
1668384901.39,1.8139999933333,1.24,2.4299998,87.826121037998,932.37213114754,100,0,0,0,0,0,0,0,0,0,4.5524589967213,0
1668384961.228,1.0629787080850999,0.59000003,1.9,83.01055438375,932.3468085106401,100,0,0,0,0,0,0,0,0,0,4.5331914893617,0
1668385021.264,0.803000003,0.51,1.2,59.040356664223005,932.4016666666699,100,0,0,0,0,0,0,0,0,0,4.6001666866667,0
1668385081.263,0.7459999981666701,0.45,1.1,51.508962517164,932.4716666666699,100,0,0,0,0,0,0,0,0,0,4.6253332683333,0
1668385141.253,0.7423333326666701,0.46999997,1.0600001000000001,21.860718317592,932.4766666666699,100,0,0,0,0,0,0,0,0,0,4.66900003,0
1668385201.404,0.88216667183333,0.68,1.1600001,34.534824428764,932.50166666667,100,0,0,0,0,0,0,0,0,0,4.7051666666667,0
1668385261.235,0.57899999816667,0.34,0.86,49.969770626721,932.48666666667,100,0,0,0,0,0,0,0,0,0,4.7065000366667,0
1668385321.267,0.47650000116666996,0.17,0.77,63.306844515867006,932.485,100,0,0,0,0,0,0,0,0,0,4.7456667533333,0
1668385381.237,0.20783333298333,0.05,0.42,139.47487112488,932.48,100,0,0,0,0,0,0,0,0,0,4.800333263333299,0
1668385441.233,0.33733333424999995,0.02,0.84,100.0092829266,932.49833333333,100,0,0,0,0,0,0,0,0,0,4.8411666616667,0
1668385501.229,1.041499995,0.63,1.3399999,27.340566028375,932.48333333333,100,0.65,0,0,0,0,0,0,0,0,4.859500015,0
1668385561.241,0.4544999992,0.05,0.76,43.819848507903004,932.39166666667,100,0,0,0,0,0,0,0,0,0,4.8216666666667,0
1668385621.232,0.22749999913333,0.05,0.46999997,349.83591925376,932.36666666667,100,0,0,0,0,0,0,0,0,0,4.8743333533332995,0
1668385681.232,0.6158333331666701,0.25,0.88,78.987568046629,932.4233333333301,100,0,0,0,0,0,0,0,0,0,4.902666711666701,0
1668385741.234,0.8383333371666701,0.59000003,1.0600001000000001,108.04889143814002,932.36,100,0,0,0,0,0,0,0,0,0,4.8761666666667,0
