x,skin_temp,bulk_temp,datetime,air_temp,wind_speed,air_pressure,relative_humidity,solar_irradiance,meteo_timestamp
1678769412.588,4.02,4.5104,2023-03-14 05:50:12.588,5.25445831375,1.5178194459722227,917.777361111111,97.82500000000005,0.0,1678769401.386
1678770012.666,4.01,4.5022,2023-03-14 06:00:12.666,5.288958345416667,1.500789668961375,917.6380555555548,96.075,0.0,1678770001.471
1678770612.66,4.95,4.5119,2023-03-14 06:10:12.660,5.2784302313778175,0.9001716011612984,917.4679889475482,94.3412112932604,0.0,1678770601.456
1678771228.084,4.34,,2023-03-14 06:20:28.084,5.2599085866958,1.731451753100144,917.4500507416082,95.15837399167316,0.0,1678771201.385
1678771812.656,5.3,4.5099,2023-03-14 06:30:12.656,5.130652744166675,1.020057436607107,917.2129166666664,95.88333333333333,0.2499999999999997,1678771801.272
1678772412.587,4.34,4.5228,2023-03-14 06:40:12.587,5.049194574698057,2.064013885888892,917.0663445478682,95.65499675835883,1.668314500941625,1678772401.258
1678773027.916,4.02,,2023-03-14 06:50:27.916,5.350001086682525,3.3841388890277835,916.903216016794,92.72065118397082,4.301388888888892,1678773001.254
1678773612.641,4.27,4.5577,2023-03-14 07:00:12.641,5.15904168944445,3.350277772083334,916.6170833333324,94.09305555555558,9.6055555555555,1678773601.279
1678774228.005,4.64,,2023-03-14 07:10:28.005,5.3224444548611,2.0343194407361085,916.48388888889,93.35972222222226,18.51527777777775,1678774201.249
1678774812.641,4.64,4.5611,2023-03-14 07:20:12.641,5.055361107499992,1.680078154870286,916.3587500000016,93.61111111111109,29.475000000000005,1678774801.26
1678775412.61,5.96,4.5645,2023-03-14 07:30:12.610,4.7394837079802175,2.3115555566666752,916.3917984934092,95.4875,39.20042372881358,1678775401.242
1678776012.625,4.97,4.5846,2023-03-14 07:40:12.625,4.672275405063558,2.086277771666675,916.491381826742,95.46111111111108,50.89903483992475,1678776001.249
1678776612.584,4.78,4.5998,2023-03-14 07:50:12.584,4.513527805138883,1.234055552437508,916.5283333333332,94.8069444444444,54.35833333333333,1678776601.274
1678777212.555,3.87,4.5987,2023-03-14 08:00:12.555,4.449555555138884,0.7614861093333308,916.6848611111108,95.15277777777784,60.84305555555551,1678777201.254
1678777828.051,5.3,,2023-03-14 08:10:28.051,4.611875002499993,0.8716805529166632,916.928055555556,94.74861111111107,78.64444444444433,1678777801.228
1678778412.609,5.38,4.6144,2023-03-14 08:20:12.609,4.539027746666666,1.7300008229819337,917.0352777777777,96.52916666666675,103.2680555555555,1678778401.251
1678779012.67,5.08,4.6478,2023-03-14 08:30:12.670,4.460814725790951,1.8913749987499917,917.1975070621464,96.26388888888884,177.7631591337108,1678779001.314
1678779612.605,5.99,4.6505,2023-03-14 08:40:12.605,4.747791476721242,2.046861108472225,917.3094397363476,95.81064030131832,138.44503758760334,1678779601.246
1678780212.714,5.51,4.6608,2023-03-14 08:50:12.714,5.2053541965087256,1.4212083329999974,917.4247708468416,94.49781420765017,133.23559746534582,1678780201.5
1678780812.708,5.37,4.686,2023-03-14 09:00:12.708,5.485750010138901,1.087177348678792,917.5175000000016,92.73888888888882,194.08611111111085,1678780801.464
1678781412.669,7.15,4.7134,2023-03-14 09:10:12.669,5.67358875683766,0.9377067714478592,917.6904573415452,92.1222222222222,264.33415493501246,1678781401.435
1678782012.656,7.87,4.7282,2023-03-14 09:20:12.656,5.906580285210425,0.5518742676418134,917.55236839102,91.7944444444444,194.79244521185163,1678782001.478
1678782612.666,8.96,4.747,2023-03-14 09:30:12.666,5.961972194583328,0.9327361072083326,917.5354166666668,91.6625,223.94444444444585,1678782601.284
1678783212.559,7.67,4.7777,2023-03-14 09:40:12.559,5.897402789027793,1.4712638875000084,917.515,91.77222222222215,153.05972222222084,1678783201.249
1678783812.623,5.9,4.7861,2023-03-14 09:50:12.623,6.039347215000007,0.8593790003698266,917.5798611111107,90.9875,108.1111111111112,1678783801.29
1678784412.59,7.0,4.7825,2023-03-14 10:00:12.590,6.061250020277767,0.5989305560277783,917.7479166666668,90.23888888888892,138.41111111111334,1678784401.257
1678785012.66,7.04,4.8142,2023-03-14 10:10:12.660,6.415478586137001,1.0535000017944498,917.9675211864406,86.37914312617708,149.16064030131832,1678785001.245
1678785612.606,6.6,4.8085,2023-03-14 10:20:12.606,6.723638812222208,2.331249998694444,918.1802777777768,85.51250000000009,231.92638888889,1678785601.273
1678786212.613,6.88,4.7969,2023-03-14 10:30:12.613,6.787458326249983,3.7426388833333335,918.1145833333316,83.78611111111115,252.8708333333325,1678786201.25
1678786812.621,7.4,4.7537,2023-03-14 10:40:12.621,6.968583340694441,2.954805557777775,918.1487499999998,82.39722222222225,105.33750000000066,1678786801.234
1678787412.656,6.52,4.7373,2023-03-14 10:50:12.656,7.210180494583343,2.740538846970342,918.3150000000009,78.82222222222224,190.9750000000017,1678787401.304
1678788012.619,6.14,4.7497,2023-03-14 11:00:12.619,7.544138833611107,3.33013888833335,918.334305555555,73.37361111111117,213.7458333333333,1678788001.253
1678788612.622,6.56,4.7633,2023-03-14 11:10:12.622,7.634808598971283,3.595138892222242,918.305218926554,73.53498116760825,160.47457627118584,1678788601.24
1678789212.576,6.82,4.7605,2023-03-14 11:20:12.576,7.367777761805549,2.0511666618750084,918.3552777777774,80.28750000000008,171.65833333333418,1678789201.252
1678789812.606,6.53,4.7693,2023-03-14 11:30:12.606,7.488777728749992,3.196458330277783,918.4473611111124,76.19583333333341,174.68194444444416,1678789801.238
1678790412.588,7.43,4.7573,2023-03-14 11:40:12.588,7.352180497916667,3.204999991527775,918.62375,79.24861111111116,138.10416666666666,1678790401.246
1678791012.616,6.64,4.7534,2023-03-14 11:50:12.616,7.167999984861116,3.261093667260308,918.8876388888876,81.57916666666675,108.82361111111192,1678791001.387
1678791628.111,6.75,,2023-03-14 12:00:28.111,7.059052744036557,3.7835844733944577,919.076633439844,82.69113411132726,83.1456573585255,1678791601.553
1678792212.705,6.37,4.7659,2023-03-14 12:10:12.705,6.735236283205791,2.6181527768055424,919.43057126208,87.12267759562833,66.30802923651633,1678792201.406
1678792812.588,6.32,4.7558,2023-03-14 12:20:12.588,6.625065049707593,3.1829217751096497,919.6856798245608,88.9819444444445,63.89510233918125,1678792801.256
1678793412.586,5.82,4.7375,2023-03-14 12:30:12.586,6.572624951944433,6.0436654874435085,919.8323611111108,88.92500000000001,57.263888888888914,1678793401.241
1678794012.634,5.45,4.7316,2023-03-14 12:40:12.634,6.366791860715625,8.764291650972233,920.0768032015084,87.68441619585683,60.41951506591334,1678794001.318
1678794612.596,4.95,4.7177,2023-03-14 12:50:12.596,6.205529198395825,9.6082083354167,920.3619108317124,85.4068749807045,48.30217074187275,1678794601.256
1678795212.596,5.8,4.6986,2023-03-14 13:00:12.596,5.837069449444441,8.961958313888909,920.6408333333334,87.69444444444433,73.79166666666667,1678795201.243
1678795812.618,4.64,4.6846,2023-03-14 13:10:12.618,5.598625002222208,8.474166670555542,920.8695833333323,90.4805555555556,71.90694444444459,1678795801.255
1678796412.592,4.27,4.669,2023-03-14 13:20:12.592,5.421152826666666,8.227537287556418,921.1765277777782,90.87916666666663,58.62638888888892,1678796401.274
1678797027.866,4.49,,2023-03-14 13:30:27.866,5.443527791249999,10.32885061951265,921.34875,87.17083333333325,63.02361111111116,1678797001.26
1678797612.666,4.85,4.6426,2023-03-14 13:40:12.666,5.766831786045959,8.77383331055559,921.6761054382374,80.40512179309066,110.4181620666231,1678797601.234
1678798212.621,4.57,4.6318,2023-03-14 13:50:12.621,5.815361101388874,8.397277783888825,921.9293055555544,76.78333333333342,105.86111111111192,1678798201.288
1678798812.605,5.04,4.6262,2023-03-14 14:00:12.605,5.8333194229166585,9.274861140972233,922.1865277777774,75.71527777777791,111.55972222222331,1678798801.261
1678799412.622,4.65,4.6224,2023-03-14 14:10:12.622,5.828097184722217,8.904763883194448,922.386944444444,75.38055555555549,146.89027777777832,1678799401.237
1678800027.919,4.23,,2023-03-14 14:20:27.919,5.695194425416667,9.460557044126158,922.4794444444452,75.86805555555559,97.70555555555582,1678800001.257
1678800612.64,4.11,4.6003,2023-03-14 14:30:12.640,5.566227697361108,7.734082945567799,922.8695555555558,78.0483333333334,88.13638888888791,1678800601.26
1678801212.623,3.34,4.5915,2023-03-14 14:40:12.623,5.4771167197222255,6.661591667611134,923.1792777777777,80.46083333333341,67.72388888888877,1678801201.293
1678801812.649,5.3,4.5867,2023-03-14 14:50:12.649,5.450569497777775,6.140261657427952,923.4368055555552,81.10277777777775,38.998611111111,1678801801.416
