x,y2,y3,y4,y,y1
1668460212.565,0,0,0,11.23,12.2597
1668460812.646,0,0,0,11.51,12.2403
1668461412.581,0,0,0,11.35,12.2786
1668462012.671,0,0,0,11.52,12.2446
1668462612.617,0,0,0,11.55,12.2761
1668463212.534,0,0,0,11.71,12.206
1668463812.585,0,0,0,11.05,12.24
1668464412.59,0,0,0,11.84,12.1976
1668465012.673,0,0,0,11.87,12.1958
1668465612.539,0,0,0,11.46,12.2253
1668466212.684,0,0,0,11.47,12.2232
1668466812.709,0,0,0,10.98,12.2365
1668467412.722,0,0,0,11.81,12.2157
1668468012.644,0,0,0,11.37,12.2308
1668468612.625,0,0,0,11.67,12.1914
1668469212.569,0,0,0,11.53,12.1931
1668469812.614,0,0,0,11.04,12.2053
1668470412.54,0,0,0,11.38,12.2247
1668471012.615,0,0,0,11.24,12.2158
1668471612.654,0,0,0,11.39,12.2288
1668472212.633,0,0,0,11.79,12.2459
1668472812.657,0,0,0,11.23,12.2409
1668473412.604,0,0,0,11.44,12.2136
1668474012.659,0,0,0,11.52,12.2165
1668474612.605,0,0,0,11.41,12.2517
1668475212.611,0,0,0,12.19,12.224
1668475812.647,0,0,0,11.99,12.2358
1668476412.569,0,0,0,11.18,12.2185
1668477012.692,0,0,0,11.67,12.2335
1668477612.72,0,0,0,11.37,12.2039
1668478212.709,0,0,0,11.55,12.202
1668478812.671,0,0,0,12.44,12.18
1668479412.651,0,0,0,11.11,12.1914
1668480012.554,0,0,0,11.4,12.1703
1668480612.62,0,0,0,11.54,12.2151
1668481212.596,0,0,0,11.63,12.1902
1668481812.619,0,0,0,11.31,12.1869
1668482412.635,0,0,0,11.4,12.2095
1668483012.555,0,0,0,11.6,12.1921
1668483612.634,0,0,0,11.71,12.162
1668484212.588,0,0,0,11.42,12.1955
1668484812.64,0,0,0,12.31,12.1776
1668485412.558,0,0,0,11.26,12.1718
1668486012.571,0,0,0,11.07,12.1746
1668486612.596,0,0,0,11.25,12.1366
1668487212.577,0,0,0,11.34,12.1712
1668487812.606,0,0,0,10.79,12.1341
1668488412.718,0,0,0,11.75,12.163
1668489012.691,0,0,0,11.84,12.1597
1668489612.67,0,0,0,11.79,12.159
1668490212.623,0,0,0,11.09,12.1812
1668490812.658,0,0,0,11.28,12.1582
1668491412.589,0,0,0,11.12,12.0654
1668492012.644,0,0,0,11.44,12.1799
1668492612.608,0,0,0,11.12,12.1557
1668493212.606,0,0,0,11.34,12.1171
1668493812.593,0,0,0,11.6,12.1627
1668494412.614,0,0,0,11.51,12.1748
1668495012.648,0,0,0,11.15,12.1333
1668495612.541,0,0,0,11.47,12.1304
1668496212.595,0,0,0,10.87,12.174
1668496812.634,0,0,0,10.94,12.1705
1668497412.589,0,0,0,10.99,12.1727
1668498012.582,0,0,0,11.4,12.1847
1668498612.677,0,0,0,10.99,12.137
1668499212.655,0,0,0,11.76,12.1782
1668499812.695,0,0,0,11.26,12.1838
1668500427.971,0,0,1,12.11,
1668501012.644,0,0,0,11.64,12.1556
1668501612.684,0,0,0,10.63,12.1699
1668502212.654,0,0,0,11.89,12.1765
1668502812.597,0,0,0,12.24,12.2038
1668503412.662,0,0,0,12.2,12.212
1668504012.547,0,0,0,11.23,12.2117
1668504612.564,0,0,0,11.83,12.2075
1668505212.627,0,0,0,11.37,12.2181
1668505812.628,0,0,0,12.25,12.228
1668506412.615,0,0,0,11.74,12.2267
1668507012.606,0,0,0,12.51,12.2307
1668507612.577,0,0,0,11.34,12.2356
1668508212.627,0,0,0,11.9,12.254
1668508812.615,0,0,0,12.31,12.2492
1668509412.7,0,0,0,12.25,12.2675
1668510012.731,0,0,0,11.63,12.2564
1668510612.705,0,0,0,12.05,12.2501
1668511212.675,0,0,0,12.01,12.2552
1668511827.891,0,0,1,12.63,
1668512412.592,0,0,0,12.48,12.2507
1668513012.594,0,0,0,12.49,12.2386
1668513627.983,0,0,1,12.09,
1668514212.685,0,0,0,12.68,12.2375
1668514812.537,0,0,0,11.74,12.2312
1668515412.585,0,0,0,11.67,12.2252
1668516012.602,0,0,0,12.52,12.2289
1668516612.661,0,0,0,12.62,12.2305
1668517212.621,0,0,0,12.3,12.2269
1668517812.601,0,0,0,12.1,12.2133
1668518412.585,0,0,0,12.6,12.2095
1668519012.587,0,0,0,11.91,12.2231
1668519612.617,0,0,0,12.13,12.2331
1668520212.629,0,0,0,11.96,12.2301
1668520812.706,0,0,0,12.33,12.2278
1668521412.724,0,0,0,12.85,12.2114
1668522012.663,0,0,0,12.98,12.2172
1668522612.622,0,0,0,12.49,12.2108
1668523212.591,0,0,0,12.53,12.2048
1668523812.623,0,0,0,11.66,12.194
1668524428.1,0,0,1,12.65,
1668525012.651,0,0,0,12.44,12.177
1668525612.595,0,0,0,12.34,12.1746
1668526212.602,0,0,0,12.32,12.1937
