x,datetime,bulk_temp,skin_temp,air_temp,precipitation,windspeed,solar_W,rel_humidity,air_pressure,Quality
1481508000.0,2016-12-12 03:00:00,8.96309241977318,7.523039682064698,-0.0819999999999999,0.0,1.089,0.0,98.8,0.0,0
1481511600.0,2016-12-12 04:00:00,8.990476937293897,7.191847603806553,-0.411,0.0,1.505,0.0,99.2,0.0,0
1481515200.0,2016-12-12 05:00:00,9.000689724784891,7.436621549539316,0.421,0.0,1.632,0.0,99.5,0.0,0
1481518800.0,2016-12-12 06:00:00,8.990183373672624,7.257966756886226,0.207,0.0,1.459,0.0,99.4,0.0,0
1481522400.0,2016-12-12 07:00:00,8.978806767492248,7.499558720178574,-0.335,0.0,1.362,0.0,98.9,0.0,0
1481526000.0,2016-12-12 08:00:00,9.004264842785991,7.609698334804743,0.073,0.0,1.195,0.0,96.3,0.0,0
1481529600.0,2016-12-12 09:00:00,9.002682223035391,7.544716016269782,0.627,0.0,1.008,0.0,96.1,0.0,0
1481533200.0,2016-12-12 10:00:00,9.004855037681425,7.3109549499743585,1.028,0.0,1.086,85.3,95.9,0.0,0
1481536800.0,2016-12-12 11:00:00,9.04067139254419,7.418420520924644,3.467,0.0,1.794,204.6,84.3,0.0,0
1481540400.0,2016-12-12 12:00:00,9.053767892661488,7.896704044698693,5.067,0.0,3.372,296.5,76.81,0.0,0
1481544000.0,2016-12-12 13:00:00,9.101473114949112,8.040785936954933,5.388,0.0,3.714,338.8,77.24,0.0,0
1481547600.0,2016-12-12 14:00:00,9.111033458475363,8.10000717786817,6.292000000000001,0.0,3.149,306.9,73.61,0.0,0
1481551200.0,2016-12-12 15:00:00,9.160717449321726,8.2589582608387,6.65,0.0,3.503,63.21,74.72,0.0,0
1481554800.0,2016-12-12 16:00:00,9.18428330486195,8.268415761025334,5.787999999999999,0.0,4.466,150.3,81.6,0.0,0
1481558400.0,2016-12-12 17:00:00,9.121793013290457,8.233309475966365,5.854,0.0,2.763,50.36,81.5,0.0,0
1481562000.0,2016-12-12 18:00:00,9.11613857438869,7.905425655763772,5.687,0.0,1.435,0.0,81.5,0.0,0
1481565600.0,2016-12-12 19:00:00,9.133547073407435,7.396420911318554,3.423,0.0,1.084,0.0,89.8,0.0,0
1481569200.0,2016-12-12 20:00:00,9.08922275415345,7.521295884296699,3.312,0.0,1.4980000000000002,0.0,84.8,0.0,0
1481572800.0,2016-12-12 21:00:00,9.102803385024211,7.4576325447789955,2.572,0.0,1.904,0.0,85.7,0.0,0
1481576400.0,2016-12-12 22:00:00,9.057469695282299,7.273413805097825,1.533,0.0,1.633,0.0,87.6,0.0,0
1481580000.0,2016-12-12 23:00:00,9.045305733934143,7.275125813108904,0.8170000000000001,0.0,1.5019999999999998,0.0,89.9,0.0,0
1481583600.0,2016-12-13 00:00:00,9.027876435796259,7.313143113445068,0.7859999999999999,0.0,1.507,0.0,89.1,0.0,0
1481587200.0,2016-12-13 01:00:00,8.979474113413964,7.21900159036955,0.095,0.0,1.4780000000000002,0.0,90.5,0.0,0
1481590800.0,2016-12-13 02:00:00,8.903204495803307,7.241990735723331,0.275,0.0,1.858,0.0,89.0,0.0,0
1481594400.0,2016-12-13 03:00:00,8.886990502698907,7.268724786409356,0.125,0.0,1.911,0.0,89.4,0.0,0
1481598000.0,2016-12-13 04:00:00,8.893905902940313,7.286188962541616,0.479,0.0,1.861,0.0,91.7,0.0,0
1481601600.0,2016-12-13 05:00:00,8.908553494525979,7.6742288488944,0.402,0.0,1.344,0.0,89.9,0.0,0
1481605200.0,2016-12-13 06:00:00,8.90718586720031,7.643691333509152,0.982,0.0,1.301,0.0,89.9,0.0,0
1481608800.0,2016-12-13 07:00:00,8.939038432774604,7.707574815590456,1.654,0.0,1.449,0.0,89.4,0.0,0
1481612400.0,2016-12-13 08:00:00,8.94771285831277,7.786175587394822,2.337,0.0,1.023,0.0,89.0,0.0,0
1481616000.0,2016-12-13 09:00:00,8.939289067843047,7.777016109957589,2.446,0.0,0.965,1.24,87.4,0.0,0
1481619600.0,2016-12-13 10:00:00,8.951749422321749,7.831288818631881,2.636,0.0,1.005,22.68,87.6,0.0,0
1481623200.0,2016-12-13 11:00:00,8.97784527868347,7.986488056738062,3.019,0.0,1.31,35.47,86.5,0.0,0
1481626800.0,2016-12-13 12:00:00,8.999916339266917,8.060223341859492,3.2430000000000003,0.0,1.46,89.5,85.8,0.0,0
1481630400.0,2016-12-13 13:00:00,9.020540667620883,8.104363437434298,3.67,0.0,1.106,112.3,84.1,0.0,0
1481634000.0,2016-12-13 14:00:00,9.010920268116076,8.192302764474617,3.639,0.0,1.3630000000000002,96.5,83.9,0.0,0
1481637600.0,2016-12-13 15:00:00,9.020275331967646,7.8474103951602165,3.721,0.0,1.104,155.8,83.8,0.0,0
1481641200.0,2016-12-13 16:00:00,9.05750934321515,7.729640358955451,4.218,0.0,1.205,112.8,81.4,0.0,0
1481644800.0,2016-12-13 17:00:00,9.039497002568778,7.68817986061862,4.686,0.0,0.728,53.18,80.3,0.0,0
1481648400.0,2016-12-13 18:00:00,9.043769373346107,7.688765205130804,4.3260000000000005,0.0,0.741,0.136,82.8,0.0,0
1481652000.0,2016-12-13 19:00:00,9.007652736069325,7.446438088770593,2.9560000000000004,0.0,1.04,0.0,88.8,0.0,0
1481655600.0,2016-12-13 20:00:00,8.939244819882507,7.307942180617955,1.686,0.0,1.545,0.0,91.4,0.0,0
1481659200.0,2016-12-13 21:00:00,8.94451527331094,7.209303857891497,1.151,0.0,1.6569999999999998,0.0,91.4,0.0,0
1481662800.0,2016-12-13 22:00:00,8.883660214598798,7.28015676552879,0.933,0.0,1.676,0.0,91.4,0.0,0
1481666400.0,2016-12-13 23:00:00,8.852939188535412,7.618818589437476,1.183,0.0,1.588,0.004,90.9,0.0,0
1481670000.0,2016-12-14 00:00:00,8.839231803609236,7.761922169013525,1.579,0.0,1.109,0.0,92.3,0.0,0
1481673600.0,2016-12-14 01:00:00,8.866644204461457,7.907023816767741,2.056,0.0,1.159,0.0,91.1,0.0,0
1481677200.0,2016-12-14 02:00:00,8.8566357435934,7.992906496460448,2.366,0.0,1.058,0.0,92.7,0.0,0
1481680800.0,2016-12-14 03:00:00,8.861345477277656,7.998254120392242,2.128,0.0,1.165,0.0,93.6,0.0,0
1481684400.0,2016-12-14 04:00:00,8.848946464202557,7.969188209543641,1.953,0.0,1.176,0.0,93.5,0.0,0
1481688000.0,2016-12-14 05:00:00,8.826679311640309,7.920835675673374,1.505,0.0,1.431,0.0,95.5,0.0,0
1481691600.0,2016-12-14 06:00:00,8.81293343622351,7.944348071956027,0.993,0.0,1.797,0.0,96.6,0.0,0
1481695200.0,2016-12-14 07:00:00,8.798238367976532,7.794890240756278,1.173,0.0,1.614,0.0,96.4,0.0,0
1481698800.0,2016-12-14 08:00:00,8.776790832568816,7.83121834561628,0.762,0.0,2.2030000000000003,0.0,95.2,0.0,0
1481702400.0,2016-12-14 09:00:00,8.791996964370263,7.713185387206343,0.812,0.0,1.915,0.124,95.4,0.0,0
1481706000.0,2016-12-14 10:00:00,8.78766897250577,7.670786132068206,0.426,0.0,2.07,17.04,93.8,0.0,0
1481709600.0,2016-12-14 11:00:00,8.78452265369873,7.635429853990574,0.789,0.0,1.776,66.9,92.2,0.0,0
1481713200.0,2016-12-14 12:00:00,8.799826227038132,7.3862437797891065,1.556,0.0,1.588,86.7,92.2,0.0,0
1481716800.0,2016-12-14 13:00:00,8.87824687847106,7.62154414343312,2.221,0.0,1.031,99.0,88.9,0.0,0
1481720400.0,2016-12-14 14:00:00,8.907016368944289,7.859926217870627,2.478,0.0,1.13,127.6,87.1,0.0,0
