x,y,y2,y4,y6,y8,y10,y12,y14,y16,y18,y20,y22,y24,y1,y3,y5,y7,y9,y11,y13,y15,y17,y19,y21,y23,y25
1610172000,-0.669,-0.705,971,1015,-2.938,8.2,71.09,4.824,85.2,,,7.831,5.879,,,,,,,,,,,,,
1610175600,-0.813,-0.847,971,1015,-3.114,8.6,72.99,4.955,84.9,,,7.813,5.881,,,,,,,,,,,,,
1610179200,-0.922,-0.988,972,1016,-3.232,9.5,67.42,5.413,85,,37.75,7.794,5.881,,,,,,,,,,,,,
1610182800,-0.604,-0.659,972,1016,-3.24,10.7,75.05,5.839,83,,167.9,7.718,5.744,,,,,,,,,,,,,
1610186400,-0.175,-0.229,972,1016,-3.324,10.8,66.86,6.722,79.93,,202.2,7.638,5.848,,,,,,,,,,,,,
1610190000,0.43,0.378,971,1016,-4.043,8.9,76,5.196,72.51,,294.7,7.796,5.909,,,,,,,,,,,,,
1610193600,0.779,0.731,971,1015,-4.773,10.2,78.44,5.726,66.86,,303.2,7.804,5.912,,,,,,,,,,,,,
1610197200,1.043,0.997,970,1015,-4.735,11.7,72.85,6.195,65.78,,275,7.826,5.894,,,,,,,,,,,,,
1610200800,0.833,0.778,970,1015,-4.385,11.2,71.21,6.267,68.61,,193.2,7.791,5.884,,,,,,,,,,,,,
1610204400,0.888,0.827,970,1015,-4.32,10.1,74.33,5.299,68.7,,67.93,7.785,5.868,,,,,,,,,,,,,
1610208000,0.443,0.385,971,1015,-4.182,9.6,68.17,6.206,71.67,,4.241,7.746,5.83,,,,,,,,,,,,,
1610211600,0.222,0.167,971,1015,-4.25,10.1,73.84,5.602,72.44,,,7.722,5.806,,,,,,,,,,,,,
1610215200,0.191,0.123,971,1015,-4.808,11.3,73.66,6.461,69.68,,,7.699,5.776,,,,,,,,,,,,,
1610218800,0.288,0.211,972,1016,-4.797,10.8,69.67,6.611,69.29,,,7.658,5.762,,,,,,,,,,,,,
1610222400,0.461,0.392,972,1016,-4.788,11.5,71.16,6.839,68.44,,,7.617,5.731,,,,,,,,,,,,,
1610226000,0.427,0.36,972,1016,-4.694,12.3,67.08,6.692,69.08,,,7.621,5.7,,,,,,,,,,,,,
1610229600,0.263,0.204,972,1016,-4.598,11.5,67.84,7.024,70.38,,,7.407,5.746,,,,,,,,,,,,,
1610233200,0.142,0.071,972,1016,-4.613,11.4,68.08,6.311,70.98,,,7.606,5.763,,,,,,,,,,,,,
1610236800,0.136,0.062,972,1016,-4.855,12.5,66.54,6.906,69.74,,,7.593,5.757,,,,,,,,,,,,,
1610240400,-0.126,-0.187,972,1016,-4.861,10,65.7,6.542,70.98,,,7.42,5.769,,,,,,,,,,,,,
1610244000,-0.281,-0.36,972,1017,-5.091,10.6,68.15,6.832,70.64,,,7.327,5.725,,,,,,,,,,,,,
1610247600,-0.49,-0.57,972,1016,-5.225,12.4,70.21,6.537,71.01,,,7.554,5.683,,,,,,,,,,,,,
